scenario_type,rental_period,rental_p25_usd_gpu_hour,rental_p75_usd_gpu_hour,hardware_condition,hardware_asking_snapshot_date,hardware_ask_per_gpu,assumed_other_installed_capex_per_gpu,assumed_paid_occupancy,assumed_monthly_cash_opex,hours_per_month,gross_revenue_payback_fast_months,gross_revenue_payback_slow_months,operating_payback_fast_months,operating_payback_slow_months,rental_source,hardware_source
hypothetical_fixed_cost_not_historical_cohort,1H 2023,2.7,3.4,refurbished,2026-08-31,30750.0,5000,0.9,400,730.0,16.004118542394124,20.1533344607926,19.49503762678591,26.02081665332265,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,1H 2023,2.7,3.4,new,2026-08-31,40554.75,5000,0.9,400,730.0,20.39338794878682,25.680562602175993,24.841722107100008,33.15725307518741,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,2H 2023,2.65,3.3,refurbished,2026-08-31,30750.0,5000,0.9,400,730.0,16.489091831557587,20.533586054392465,20.219444601549686,26.65821557734611,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,2H 2023,2.65,3.3,new,2026-08-31,40554.75,5000,0.9,400,730.0,21.01136940178036,26.165101519198185,25.764804026921556,33.969464225793224,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,1Q 2024,2.5,3.1,refurbished,2026-08-31,30750.0,5000,0.9,400,730.0,17.552904207787105,21.765601217656013,21.842732327243844,28.772635814889338,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,1Q 2024,2.5,3.1,new,2026-08-31,40554.75,5000,0.9,400,730.0,22.36694162125006,27.735007610350078,27.833292600965358,36.663782696177066,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,2Q 2024,2.2,2.5,refurbished,2026-08-31,30750.0,5000,0.9,400,730.0,21.765601217656013,24.73363774733637,28.772635814889338,34.19743638798545,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,2Q 2024,2.2,2.5,new,2026-08-31,40554.75,5000,0.9,400,730.0,27.735007610350078,31.517054102670535,36.663782696177066,43.576382246030214,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,3Q 2024,2.15,2.45,refurbished,2026-08-31,30750.0,5000,0.9,400,730.0,22.209797160873478,25.30883862518141,29.55400322407307,35.30689842476915,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,3Q 2024,2.15,2.45,new,2026-08-31,40554.75,5000,0.9,400,730.0,28.3010281738266,32.250008849244274,37.65944694746413,44.99012394449657,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,4Q 2024,1.9,2.1,refurbished,2026-08-31,30750.0,5000,0.9,400,730.0,25.91143002101906,28.638948970600016,36.490762478309684,42.14310974890959,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,4Q 2024,1.9,2.1,new,2026-08-31,40554.75,5000,0.9,400,730.0,33.017866202797705,36.4934310662501,46.49867306318261,53.70122598137451,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,1Q 2025,1.8,2.1,refurbished,2026-08-31,30750.0,5000,0.9,400,730.0,25.91143002101906,30.230001691188903,36.490762478309684,45.68106312292358,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,1Q 2025,1.8,2.1,new,2026-08-31,40554.75,5000,0.9,400,730.0,33.017866202797705,38.52084390326399,46.49867306318261,58.2094939943777,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,2Q 2025,1.8,2.1,refurbished,2026-08-31,30750.0,5000,0.9,400,730.0,25.91143002101906,30.230001691188903,36.490762478309684,45.68106312292358,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,2Q 2025,1.8,2.1,new,2026-08-31,40554.75,5000,0.9,400,730.0,33.017866202797705,38.52084390326399,46.49867306318261,58.2094939943777,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,Jul 2025,1.7,2.0,refurbished,2026-08-31,30750.0,5000,0.9,400,730.0,27.207001522070016,32.00823708478825,39.11378555798687,49.86748500488213,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
